ID,YEAR,COUNTRY,LATITUDE,LONGITUDE,DISASTER_TYPE,HOUSES_AFFECTED,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
9813,1977,USA TERRITORY,-14.2766,-170.689,tsunami,,,,
9814,1977,USA TERRITORY,-14.2766,-170.689,tsunami,,,,
9815,1977,SAMOA,-13.8268,-171.7613,tsunami,,,,
9816,1977,SAMOA,-13.8268,-171.7613,tsunami,,,,
9817,1977,SAMOA,-13.8268,-171.7613,tsunami,,,,
9818,1977,SAMOA,-13.8268,-171.7613,tsunami,,,,
9819,1977,AUSTRALIA,-27.36666,153.16666,tsunami,,,,
9820,1977,AUSTRALIA,-27.36666,153.16666,tsunami,,,,
9821,1977,AUSTRALIA,-16.91666,145.78333,tsunami,,,,
9822,1977,AUSTRALIA,-16.91666,145.78333,tsunami,,,,
9823,1977,AUSTRALIA,-19.25,146.83333,tsunami,,,,
9824,1977,AUSTRALIA,-19.25,146.83333,tsunami,,,,
9825,1977,AUSTRALIA,-18,122.2166,tsunami,,,,
9826,1977,AUSTRALIA,-16.39,122.925,tsunami,,,,
9827,1977,AUSTRALIA,-20.6667,116.7,tsunami,,,,
9828,1977,AUSTRALIA,-20.663888,116.684166,tsunami,,,,
9829,1977,AUSTRALIA,-20.353227,116.8346166,tsunami,,,,
9830,1977,AUSTRALIA,-20.6333,117.2,tsunami,,,,
9831,1977,AUSTRALIA,-20.639166,116.727777,tsunami,,,,
9832,1977,PAPUA NEW GUINEA,-4.22,152.18,tsunami,,,,
9833,1977,PAPUA NEW GUINEA,-2.035,147.367,tsunami,,,,
9834,1977,SOLOMON ISLANDS,-9.429,159.955,tsunami,,,,
9835,1977,SOLOMON ISLANDS,-11.6,160.25343,tsunami,,,,
9836,1977,USA,33.75,-118.22,tsunami,,,,
9837,1977,USA,33.719,-118.272,tsunami,,,,
9838,1977,USA,35.17666,-120.755,tsunami,,,,
9839,1977,USA,32.715,-117.174,tsunami,,,,
9840,1977,USA,19.7303,-155.0553,tsunami,,,,
9841,1977,USA,21.3067,-157.867,tsunami,,,,
9842,1977,USA,20.895,-156.477,tsunami,,,,
9843,1977,USA,21.987,-159.336,tsunami,,,,
9844,1977,USA,21.927,-159.36,tsunami,,,,
9845,1977,NEW ZEALAND,-36.8314,174.7865,tsunami,,,,
9846,1977,NEW ZEALAND,-35.27,174.1,tsunami,,,,
9847,1977,NEW ZEALAND,-37.6410885,176.1811791,tsunami,,,,
9848,1977,NEW ZEALAND,-35.72,174.3,tsunami,,,,
9849,1977,FRENCH POLYNESIA,-21.87,-138.92,tsunami,,,,
9850,1977,FRENCH POLYNESIA,-17.5331,-149.5726,tsunami,,,,
9851,1977,NEW CALEDONIA,-22.2466,166.4116,tsunami,,,,
9852,1977,FIJI,-18.1342,178.4236,tsunami,,,,
9853,1977,FIJI,-18.1342,178.4236,tsunami,,,,
9854,1977,INDONESIA,-8.84,118.08,tsunami,,189,,
9855,1977,INDONESIA,-8.565,116.351,tsunami,,,,
9856,1977,INDONESIA,-8.80274,115.237,tsunami,,,,
9857,1977,INDONESIA,-8.802,115.237,tsunami,,,,
9858,1977,INDONESIA,-8.745,115.21,tsunami,,,,
9859,1977,INDONESIA,-8.69105,115.26679,tsunami,,,,
9860,1978,USA TERRITORY,28.215,-177.361,tsunami,,,,
9861,1978,USA TERRITORY,19.29,166.6183,tsunami,,,,
9862,1978,JAPAN,42.284,143.319,tsunami,,,,
9863,1978,JAPAN,42.284,143.319,tsunami,,,,
9864,1978,JAPAN,42.284,143.319,tsunami,,,,
9865,1978,JAPAN,37.82,140.98,tsunami,,,,
9866,1978,JAPAN,34.93,139.83,tsunami,,,,
9867,1978,JAPAN,44,144.26,tsunami,,,,
9868,1978,JAPAN,40.533,141.533,tsunami,,,,
9869,1978,JAPAN,40.533,141.533,tsunami,,,,
9870,1978,JAPAN,40.533,141.533,tsunami,,,,
9871,1978,JAPAN,34.067,139.483,tsunami,,,,
9872,1978,JAPAN,34.9189,139.825,tsunami,,,,
9873,1978,JAPAN,34.9189,139.825,tsunami,,,,
9874,1978,JAPAN,34.983,139.85,tsunami,,,,
9875,1978,JAPAN,34.683,139.45,tsunami,,,,
9876,1978,JAPAN,34.783,139.383,tsunami,,,,
9877,1978,JAPAN,34.783,139.417,tsunami,,,,
9878,1978,JAPAN,35.3,139.483,tsunami,,,,
9879,1978,JAPAN,35.233,139.717,tsunami,,,,
9880,1978,JAPAN,35.3,139.317,tsunami,,,,
9881,1978,JAPAN,34.9,139.133,tsunami,,,,
9882,1978,JAPAN,34.617,138.883,tsunami,,,,
9883,1978,JAPAN,33.1,139.767,tsunami,,,,
9884,1978,JAPAN,33.467,135.783,tsunami,,,,
9885,1978,JAPAN,33.45,135.75,tsunami,,,,
9886,1978,JAPAN,43.2781,145.5678,tsunami,,,,
9887,1978,JAPAN,43.2781,145.5678,tsunami,,,,
9888,1978,JAPAN,43.2781,145.5678,tsunami,,,,
9889,1978,JAPAN,43.2781,145.5678,tsunami,,,,
9890,1978,JAPAN,27.0939,142.1947,tsunami,,,,
9891,1978,JAPAN,27.0939,142.1947,tsunami,,,,
9892,1978,JAPAN,42.9756,144.3714,tsunami,,,,
9893,1978,JAPAN,42.9756,144.3714,tsunami,,,,
9894,1978,JAPAN,42.9756,144.3714,tsunami,,,,
9895,1978,JAPAN,43.35,145.583,tsunami,,,,
9896,1978,JAPAN,43.35,145.583,tsunami,,,,
9897,1978,JAPAN,42.3,143.333,tsunami,,,,
9898,1978,JAPAN,42.3,143.333,tsunami,,,,
9899,1978,JAPAN,42.3,143.333,tsunami,,,,
9900,1978,JAPAN,42.167,142.767,tsunami,,,,
9901,1978,JAPAN,42.167,142.767,tsunami,,,,
9902,1978,JAPAN,42.167,142.767,tsunami,,,,
9903,1978,JAPAN,44.017,144.283,tsunami,,,,
9904,1978,JAPAN,39.65,141.983,tsunami,,,,
9905,1978,JAPAN,39.65,141.983,tsunami,,,,
9906,1978,JAPAN,38.3,141.5,tsunami,,,,
9907,1978,JAPAN,38.3,141.5,tsunami,,,,
9908,1978,JAPAN,40.517,141.517,tsunami,,,,
9909,1978,JAPAN,36.933,140.9,tsunami,,,,
9910,1978,JAPAN,37.817,140.95,tsunami,,,,
9911,1978,JAPAN,41.7187,140.7247,tsunami,,,,
9912,1978,JAPAN,42.35,140.95,tsunami,,,,
9913,1978,JAPAN,42.633,141.617,tsunami,,,,
9914,1978,JAPAN,36.5,140.633,tsunami,,,,
9915,1978,JAPAN,35.933,140.7,tsunami,,,,
9916,1978,JAPAN,36.333,140.583,tsunami,,,,
9917,1978,JAPAN,39.267,141.883,tsunami,,,,
9918,1978,JAPAN,39.017,141.75,tsunami,,,,
9919,1978,JAPAN,38.4,141.6,tsunami,,,,
9920,1978,JAPAN,38.417,141.267,tsunami,,,,
9921,1978,JAPAN,38.9,141.6,tsunami,,,,
9922,1978,JAPAN,38.333,141.167,tsunami,,,,
9923,1978,JAPAN,38.433,141.45,tsunami,,,,
9924,1978,JAPAN,38.267,141.033,tsunami,,,,
9925,1978,JAPAN,38.3,141.033,tsunami,,,,
9926,1978,JAPAN,38.583,141.483,tsunami,,,,
9927,1978,JAPAN,38.567,141.45,tsunami,,,,
9928,1978,JAPAN,24.333,124.167,tsunami,,,,
9929,1978,MEXICO,15.85,-97.07,tsunami,,,,
9930,1979,JAPAN,42.284,143.319,tsunami,,,,
9931,1979,JAPAN,34.083,136.2,tsunami,,,,
9932,1979,JAPAN,34.083,136.2,tsunami,,,,
9933,1979,JAPAN,40.533,141.533,tsunami,,,,
9934,1979,JAPAN,40.533,141.533,tsunami,,,,
9935,1979,JAPAN,36.933,140.9,tsunami,,,,
9936,1979,JAPAN,36.933,140.9,tsunami,,,,
9937,1979,JAPAN,42.3,143.333,tsunami,,,,
9938,1979,JAPAN,42.3,143.333,tsunami,,,,
9939,1979,JAPAN,42.167,142.767,tsunami,,,,
9940,1979,JAPAN,42.167,142.767,tsunami,,,,
9941,1979,JAPAN,40.2,141.817,tsunami,,,,
9942,1979,JAPAN,39.65,141.983,tsunami,,,,
9943,1979,JAPAN,39.65,141.983,tsunami,,,,
9944,1979,JAPAN,39.017,141.75,tsunami,,,,
9945,1979,JAPAN,39.017,141.75,tsunami,,,,
9946,1979,JAPAN,39.9,141.933,tsunami,,,,
9947,1979,JAPAN,39.9,141.933,tsunami,,,,
9948,1979,JAPAN,38.3,141.5,tsunami,,,,
9949,1979,JAPAN,38.3,141.5,tsunami,,,,
9950,1979,JAPAN,38.4,141.6,tsunami,,,,
9951,1979,JAPAN,38.4,141.6,tsunami,,,,
9952,1979,JAPAN,40.517,141.517,tsunami,,,,
9953,1979,JAPAN,40.933,141.4,tsunami,,,,
9954,1979,JAPAN,27.0939,142.1947,tsunami,,,,
9955,1979,JAPAN,34.9189,139.825,tsunami,,,,
9956,1979,JAPAN,41.7187,140.7247,tsunami,,,,
9957,1979,JAPAN,43.2781,145.5678,tsunami,,,,
9958,1979,JAPAN,42.9756,144.3714,tsunami,,,,
9959,1979,JAPAN,36.5,140.633,tsunami,,,,
9960,1979,JAPAN,39.267,141.883,tsunami,,,,
9961,1979,JAPAN,28.383,129.5,tsunami,,,,
9962,1979,JAPAN,33.267,134.167,tsunami,,,,
9963,1979,JAPAN,32.7792,132.9589,tsunami,,,,
9964,1979,JAPAN,34.483,136.817,tsunami,,,,
9965,1979,JAPAN,31.583,131.417,tsunami,,,,
9966,1979,JAPAN,34.617,138.883,tsunami,,,,
9967,1979,JAPAN,34.6083,138.2222,tsunami,,,,
9968,1979,JAPAN,35.65,139.767,tsunami,,,,
9969,1979,JAPAN,33.1,139.767,tsunami,,,,
9970,1979,JAPAN,33.467,135.783,tsunami,,,,
9971,1979,JAPAN,33.55,135.9,tsunami,,,,
9972,1979,USA,59.55,-139.733,tsunami,,,,
9973,1979,USA,19.7303,-155.0553,tsunami,,,,
9974,1979,USA,20.895,-156.477,tsunami,,,,
9975,1979,USA,21.927,-159.36,tsunami,,,,
9976,1979,USA,57.052,-135.342,tsunami,,,,
9977,1979,USA,21.3067,-157.867,tsunami,,,,
9978,1979,USA TERRITORY,-14.2766,-170.689,tsunami,,,,
9979,1979,USA TERRITORY,16.7363,-169.5283,tsunami,,,,
9980,1979,MEXICO,16.833,-99.917,tsunami,,,,
9981,1979,MEXICO,16.833,-99.917,tsunami,,,,
9982,1979,MEXICO,19.05,-104.333,tsunami,,,,
9983,1979,MEXICO,19.05,-104.333,tsunami,,,,
9984,1979,INDONESIA,-8.5,123.5,tsunami,,1239,32,
9985,1979,INDONESIA,-8.5,123.5,tsunami,,,,
9986,1979,INDONESIA,-1.15,136,tsunami,,,,
9987,1979,INDONESIA,-1.65,136,tsunami,400,100,,
9988,1980,JAPAN,38.45,141.6,tsunami,,,,
9989,1980,JAPAN,42.284,143.319,tsunami,,,,
9990,1980,JAPAN,34.9189,139.825,tsunami,,,,
9991,1980,JAPAN,34.9189,139.825,tsunami,,,,
9992,1980,JAPAN,34.9189,139.825,tsunami,,,,
9993,1980,JAPAN,34.483,136.817,tsunami,,,,
9994,1980,JAPAN,34.483,136.817,tsunami,,,,
9995,1980,JAPAN,34.083,136.2,tsunami,,,,
9996,1980,JAPAN,34.083,136.2,tsunami,,,,
9997,1980,JAPAN,28.383,129.5,tsunami,,,,
9998,1980,JAPAN,28.383,129.5,tsunami,,,,
9999,1980,JAPAN,43.2781,145.5678,tsunami,,,,
10000,1980,JAPAN,43.2781,145.5678,tsunami,,,,
10001,1980,JAPAN,42.9756,144.3714,tsunami,,,,
10002,1980,JAPAN,42.9756,144.3714,tsunami,,,,
10003,1980,JAPAN,43.35,145.583,tsunami,,,,
10004,1980,JAPAN,42.3,143.333,tsunami,,,,
10005,1980,JAPAN,42.3,143.333,tsunami,,,,
10006,1980,JAPAN,39.65,141.983,tsunami,,,,
10007,1980,JAPAN,39.65,141.983,tsunami,,,,
10008,1980,JAPAN,38.3,141.5,tsunami,,,,
10009,1980,JAPAN,38.3,141.5,tsunami,,,,
10010,1980,JAPAN,34.067,139.483,tsunami,,,,
10011,1980,JAPAN,35.133,140.25,tsunami,,,,
10012,1980,JAPAN,34.217,139.133,tsunami,,,,
10013,1980,JAPAN,34.783,139.383,tsunami,,,,
10014,1980,JAPAN,34.783,139.417,tsunami,,,,
10015,1980,JAPAN,35.15,139.617,tsunami,,,,
10016,1980,JAPAN,35.3,139.483,tsunami,,,,
10017,1980,JAPAN,35.267,139.567,tsunami,,,,
10018,1980,JAPAN,35.317,139.367,tsunami,,,,
10019,1980,JAPAN,35.233,139.717,tsunami,,,,
10020,1980,JAPAN,35.15,139.15,tsunami,,,,
10021,1980,JAPAN,35.3,139.317,tsunami,,,,
10022,1980,JAPAN,34.9,139.133,tsunami,,,,
10023,1980,JAPAN,34.617,138.883,tsunami,,,,
10024,1980,JAPAN,40.533,141.533,tsunami,,,,
10025,1980,JAPAN,27.0939,142.1947,tsunami,,,,
10026,1980,JAPAN,36.933,140.9,tsunami,,,,
10027,1980,JAPAN,42.167,142.767,tsunami,,,,
10028,1980,JAPAN,39.017,141.75,tsunami,,,,
10029,1980,JAPAN,33.267,134.167,tsunami,,,,
10030,1980,JAPAN,32.7792,132.9589,tsunami,,,,
10031,1980,JAPAN,38.4,141.6,tsunami,,,,
10032,1980,JAPAN,31.583,131.417,tsunami,,,,
10033,1980,JAPAN,26.217,127.667,tsunami,,,,
10034,1980,JAPAN,34.683,137.617,tsunami,,,,
10035,1980,JAPAN,34.6083,138.2222,tsunami,,,,
10036,1980,JAPAN,35.017,138.883,tsunami,,,,
10037,1980,JAPAN,33.1,139.767,tsunami,,,,
10038,1980,JAPAN,33.467,135.783,tsunami,,,,
10039,1980,JAPAN,33.55,135.9,tsunami,,,,
10040,1980,USA,19.7303,-155.0553,tsunami,,,,
10041,1980,USA,21.3067,-157.867,tsunami,,,,
10042,1980,USA,20.895,-156.477,tsunami,,,,
10043,1980,USA,19.63,-155.99,tsunami,,,,
10044,1980,USA,46.273,-122.135,tsunami,,,,
10045,1980,USA,46.277,-122.124,tsunami,,,,
10046,1981,JAPAN,42.284,143.319,tsunami,,,,
10047,1981,JAPAN,37.82,140.98,tsunami,,,,
10048,1981,JAPAN,34.9189,139.825,tsunami,,,,
10049,1981,JAPAN,34.9189,139.825,tsunami,,,,
10052,1981,JAPAN,42.03,143.3,tsunami,,,,
10053,1981,JAPAN,40.533,141.533,tsunami,,,,
10054,1981,JAPAN,36.933,140.9,tsunami,,,,
10055,1981,JAPAN,37.833,140.967,tsunami,,,,
10056,1981,JAPAN,37.817,140.95,tsunami,,,,
10057,1981,JAPAN,43.2781,145.5678,tsunami,,,,
10058,1981,JAPAN,42.9756,144.3714,tsunami,,,,
10059,1981,JAPAN,42.033,143.3,tsunami,,,,
10060,1981,JAPAN,42.3,143.333,tsunami,,,,
10061,1981,JAPAN,42.167,142.767,tsunami,,,,
10062,1981,JAPAN,36.5,140.633,tsunami,,,,
10063,1981,JAPAN,36.333,140.583,tsunami,,,,
10064,1981,JAPAN,39.267,141.883,tsunami,,,,
10065,1981,JAPAN,39.65,141.983,tsunami,,,,
10066,1981,JAPAN,39.017,141.75,tsunami,,,,
10067,1981,JAPAN,38.3,141.5,tsunami,,,,
10068,1981,JAPAN,38.4,141.6,tsunami,,,,
10069,1981,JAPAN,38.417,141.267,tsunami,,,,
10070,1981,JAPAN,38.9,141.6,tsunami,,,,
10071,1981,JAPAN,38.267,141.033,tsunami,,,,
10072,1981,JAPAN,38.3,141.033,tsunami,,,,
10073,1981,JAPAN,38.567,141.45,tsunami,,,,
10074,1981,NEW ZEALAND,-52.5,169.03,tsunami,,,,
10075,1981,USA TERRITORY,-14.2766,-170.689,tsunami,,,,
10076,1981,MEXICO,16.833,-99.917,tsunami,,,,
10077,1982,JAPAN,42.284,143.319,tsunami,,,,
10078,1982,JAPAN,40.16,141.78,tsunami,,,,
10079,1982,JAPAN,42.03,143.3,tsunami,,,,
10080,1982,JAPAN,36.62,140.65,tsunami,,,,
10081,1982,JAPAN,34.9189,139.825,tsunami,,,,
10082,1982,JAPAN,34.9189,139.825,tsunami,,,,
10083,1982,JAPAN,40.533,141.533,tsunami,,,,
10084,1982,JAPAN,40.533,141.533,tsunami,,,,
10085,1982,JAPAN,40.517,141.517,tsunami,,,,
10086,1982,JAPAN,43.05,144.85,tsunami,,,,
10087,1982,JAPAN,42.433,142.217,tsunami,,,,
10088,1982,JAPAN,41.933,143.25,tsunami,,,,
10089,1982,JAPAN,41.7187,140.7247,tsunami,,,,
10090,1982,JAPAN,43.2781,145.5678,tsunami,,,,
10091,1982,JAPAN,42.267,142.5,tsunami,,,,
10092,1982,JAPAN,42.3,142.45,tsunami,,,,
10093,1982,JAPAN,42.017,143.15,tsunami,,,,
10094,1982,JAPAN,42.217,142.617,tsunami,,,,
10095,1982,JAPAN,42.9756,144.3714,tsunami,,,,
10096,1982,JAPAN,42.1,140.6,tsunami,,,,
10097,1982,JAPAN,42.35,140.95,tsunami,,,,
10098,1982,JAPAN,42.117,142.933,tsunami,,,,
10099,1982,JAPAN,42.383,142.283,tsunami,,,,
10100,1982,JAPAN,42.033,143.3,tsunami,,,,
10101,1982,JAPAN,42.3,143.333,tsunami,,,,
10102,1982,JAPAN,42.633,141.617,tsunami,,,,
10103,1982,JAPAN,42.5,142.017,tsunami,,,,
10104,1982,JAPAN,42.167,142.767,tsunami,,,,
10105,1982,JAPAN,39.267,141.883,tsunami,,,,
10106,1982,JAPAN,39.267,141.883,tsunami,,,,
10107,1982,JAPAN,40.2,141.817,tsunami,,,,
10108,1982,JAPAN,39.65,141.983,tsunami,,,,
10109,1982,JAPAN,39.65,141.983,tsunami,,,,
10110,1982,JAPAN,39.017,141.75,tsunami,,,,
10111,1982,JAPAN,39.017,141.75,tsunami,,,,
10112,1982,JAPAN,39.9,141.933,tsunami,,,,
10113,1982,JAPAN,38.3,141.5,tsunami,,,,
10114,1982,JAPAN,38.3,141.5,tsunami,,,,
10115,1982,JAPAN,38.4,141.6,tsunami,,,,
10116,1982,JAPAN,35.75,140.867,tsunami,,,,
10117,1982,JAPAN,35.133,140.25,tsunami,,,,
10118,1982,JAPAN,36.933,140.9,tsunami,,,,
10119,1982,JAPAN,37.817,140.95,tsunami,,,,
10120,1982,JAPAN,36.5,140.633,tsunami,,,,
10121,1982,JAPAN,35.933,140.7,tsunami,,,,
10122,1982,JAPAN,36.333,140.583,tsunami,,,,
10123,1982,JAPAN,34.217,139.133,tsunami,,,,
10124,1982,JAPAN,38.417,141.267,tsunami,,,,
10125,1982,JAPAN,38.267,141.033,tsunami,,,,
10126,1982,JAPAN,38.3,141.033,tsunami,,,,
10127,1982,JAPAN,34.617,138.883,tsunami,,,,
10128,1982,JAPAN,34.067,139.483,tsunami,,,,
10129,1982,JAPAN,33.1,139.767,tsunami,,,,
10130,1982,JAPAN,33.1,139.767,tsunami,,,,
10131,1982,USA TERRITORY,-14.2766,-170.689,tsunami,,,,
10132,1982,USA,21.3067,-157.867,tsunami,,,,
10133,1982,USA,19.63,-155.99,tsunami,,,,
10134,1982,FRENCH POLYNESIA,-17.5331,-149.5726,tsunami,,,,
10135,1983,INDONESIA,-3.68,128.2,tsunami,,,,
10136,1983,JAPAN,42,143,tsunami,,,,
10137,1983,JAPAN,40.316,140.024,tsunami,,,,
10138,1983,JAPAN,36,138,tsunami,,,,
10139,1983,JAPAN,35.92,136.17,tsunami,,,,
10140,1983,JAPAN,39.73,140.08,tsunami,,,,
10141,1983,JAPAN,39.73,140.08,tsunami,,,,
10142,1983,JAPAN,39.867,139.85,tsunami,,,,
10143,1983,JAPAN,39.867,139.85,tsunami,,,,
10144,1983,JAPAN,39.883,139.85,tsunami,,,,
10145,1983,JAPAN,40.333,140.033,tsunami,,,,
10146,1983,JAPAN,40.05,139.95,tsunami,,,,
10147,1983,JAPAN,40.367,140.017,tsunami,,,,
10148,1983,JAPAN,40.35,140.033,tsunami,,,,
10149,1983,JAPAN,40.1,139.967,tsunami,,,,
10150,1983,JAPAN,39.9,139.733,tsunami,,,,
10151,1983,JAPAN,39.2,139.9,tsunami,,,,
10152,1983,JAPAN,39.967,139.783,tsunami,,,,
10153,1983,JAPAN,39.25,139.917,tsunami,,,,
10154,1983,JAPAN,39.383,140.017,tsunami,,,,
10155,1983,JAPAN,39.5,140.05,tsunami,,,,
10156,1983,JAPAN,39.867,139.75,tsunami,,,,
10157,1983,JAPAN,40.217,140,tsunami,,,,
10158,1983,JAPAN,40.217,140,tsunami,,,,
10159,1983,JAPAN,40.217,140.017,tsunami,,,,
10160,1983,JAPAN,40,139.7,tsunami,,,,
10161,1983,JAPAN,39.3,139.967,tsunami,,,,
10162,1983,JAPAN,39.6,140.067,tsunami,,,,
10163,1983,JAPAN,39.95,139.717,tsunami,,,,
10164,1983,JAPAN,40.767,140.167,tsunami,,,,
10165,1983,JAPAN,40.783,140.217,tsunami,,,,
10166,1983,JAPAN,40.9,140.867,tsunami,,,,
10167,1983,JAPAN,40.65,139.933,tsunami,,,,
10168,1983,JAPAN,40.65,139.933,tsunami,,,,
10169,1983,JAPAN,40.65,139.933,tsunami,,,,
10170,1983,JAPAN,40.533,141.533,tsunami,,,,
10171,1983,JAPAN,41.033,140.333,tsunami,,,,
10172,1983,JAPAN,41.033,140.317,tsunami,,,,
10173,1983,JAPAN,41.033,140.317,tsunami,,,,
10174,1983,JAPAN,41.133,140.3,tsunami,,,,
10175,1983,JAPAN,41.2,140.433,tsunami,,,,
10176,1983,JAPAN,41.2,140.433,tsunami,,,,
10177,1983,JAPAN,41.25,141.15,tsunami,,,,
10178,1983,JAPAN,41.117,140.267,tsunami,,,,
10179,1983,JAPAN,41.017,140.317,tsunami,,,,
10180,1983,JAPAN,36.083,136.033,tsunami,,,,
10181,1983,JAPAN,36.083,136.033,tsunami,,,,
10182,1983,JAPAN,36.2,136.133,tsunami,,,,
10183,1983,JAPAN,36.2,136.133,tsunami,,,,
10184,1983,JAPAN,35.817,136.067,tsunami,,,,
10185,1983,JAPAN,35.817,136.067,tsunami,,,,
10186,1983,JAPAN,36,136,tsunami,,,,
10187,1983,JAPAN,36.25,136.15,tsunami,,,,
10188,1983,JAPAN,36.25,136.15,tsunami,,,,
10189,1983,JAPAN,36.25,136.15,tsunami,,,,
10190,1983,JAPAN,36.25,136.15,tsunami,,,,
10191,1983,JAPAN,36.217,136.133,tsunami,,,,
10192,1983,JAPAN,35.983,135.967,tsunami,,,,
10193,1983,JAPAN,36.1,136.05,tsunami,,,,
10194,1983,JAPAN,35.533,135.833,tsunami,,,,
10195,1983,JAPAN,35.65,136.067,tsunami,,,,
10196,1983,JAPAN,35.65,136.067,tsunami,,,,
10197,1983,JAPAN,35.5,135.75,tsunami,,,,
10198,1983,JAPAN,35.533,135.817,tsunami,,,,
10199,1983,JAPAN,35.933,136,tsunami,,,,
10200,1983,JAPAN,33.617,130.4,tsunami,,,,
10201,1983,JAPAN,44.017,144.283,tsunami,,,,
10202,1983,JAPAN,42.15,139.517,tsunami,,,,
10203,1983,JAPAN,41.533,140,tsunami,,,,
10204,1983,JAPAN,41.867,140.133,tsunami,,,,
10205,1983,JAPAN,41.867,140.133,tsunami,,,,
10206,1983,JAPAN,41.467,140.267,tsunami,,,,
10207,1983,JAPAN,44.367,141.7,tsunami,,,,
10208,1983,JAPAN,41.7187,140.7247,tsunami,,,,
10209,1983,JAPAN,42.683,139.983,tsunami,,,,
10210,1983,JAPAN,43.217,141.317,tsunami,,,,
10211,1983,JAPAN,43.217,141.317,tsunami,,,,
10212,1983,JAPAN,42.983,140.5,tsunami,,,,
10213,1983,JAPAN,42.983,140.5,tsunami,,,,
10214,1983,JAPAN,42.983,140.517,tsunami,,,,
10215,1983,JAPAN,42.067,139.433,tsunami,,,,
10216,1983,JAPAN,42.233,139.817,tsunami,,,,
10217,1983,JAPAN,43.133,140.433,tsunami,,,,
10218,1983,JAPAN,43.217,140.333,tsunami,,,,
10219,1983,JAPAN,42.217,139.833,tsunami,,,,
10220,1983,JAPAN,42.133,139.983,tsunami,,,,
10221,1983,JAPAN,45.183,141.15,tsunami,,,,
10222,1983,JAPAN,45.183,141.15,tsunami,,,,
10223,1983,JAPAN,41.417,140.1,tsunami,,,,
10224,1983,JAPAN,41.433,140.117,tsunami,,,,
10225,1983,JAPAN,44.35,143.367,tsunami,,,,
10226,1983,JAPAN,42.1,139.433,tsunami,,,,
10227,1983,JAPAN,42.1,140.6,tsunami,,,,
10228,1983,JAPAN,42.35,140.95,tsunami,,,,
10229,1983,JAPAN,43.2,140.867,tsunami,,,,
10230,1983,JAPAN,43.2,140.867,tsunami,,,,
10231,1983,JAPAN,43.167,141.033,tsunami,,,,
10232,1983,JAPAN,41.967,140.133,tsunami,,,,
10233,1983,JAPAN,43.95,141.633,tsunami,,,,
10234,1983,JAPAN,42.133,139.933,tsunami,,,,
10235,1983,JAPAN,45.083,141.183,tsunami,,,,
10236,1983,JAPAN,45.083,141.183,tsunami,,,,
10237,1983,JAPAN,42.8,140.233,tsunami,,,,
10238,1983,JAPAN,42.767,140.25,tsunami,,,,
10239,1983,JAPAN,42.3,143.333,tsunami,,,,
10240,1983,JAPAN,42.633,141.617,tsunami,,,,
10241,1983,JAPAN,43.067,140.5,tsunami,,,,
10242,1983,JAPAN,42.05,140.083,tsunami,,,,
10243,1983,JAPAN,42.167,142.767,tsunami,,,,
10244,1983,JAPAN,41.567,140.433,tsunami,,,,
10245,1983,JAPAN,45.4,141.683,tsunami,,,,
10246,1983,JAPAN,45.4,141.683,tsunami,,,,
10247,1983,JAPAN,41.783,141.117,tsunami,,,,
10248,1983,JAPAN,41.45,140.25,tsunami,,,,
10249,1983,JAPAN,41.45,140.25,tsunami,,,,
10250,1983,JAPAN,35.633,134.633,tsunami,,,,
10251,1983,JAPAN,35.65,134.833,tsunami,,,,
10252,1983,JAPAN,34.65,134.833,tsunami,,,,
10253,1983,JAPAN,37.167,136.683,tsunami,,,,
10254,1983,JAPAN,37.217,136.917,tsunami,,,,
10255,1983,JAPAN,37.083,136.733,tsunami,,,,
10256,1983,JAPAN,37.083,136.733,tsunami,,,,
10257,1983,JAPAN,37.85,136.917,tsunami,,,,
10258,1983,JAPAN,37.433,137.267,tsunami,,,,
10259,1983,JAPAN,36.617,136.6,tsunami,,,,
10260,1983,JAPAN,36.617,136.6,tsunami,,,,
10261,1983,JAPAN,37.2,136.683,tsunami,,,,
10262,1983,JAPAN,37.05,136.967,tsunami,,,,
10263,1983,JAPAN,37.05,136.967,tsunami,,,,
10264,1983,JAPAN,37.517,137.333,tsunami,,,,
10265,1983,JAPAN,37.517,137.283,tsunami,,,,
10266,1983,JAPAN,37.133,136.683,tsunami,,,,
10267,1983,JAPAN,36.95,136.767,tsunami,,,,
10268,1983,JAPAN,37,136.767,tsunami,,,,
10269,1983,JAPAN,37.15,136.7,tsunami,,,,
10270,1983,JAPAN,37.3,137.15,tsunami,,,,
10271,1983,JAPAN,37.4,136.9,tsunami,,,,
10272,1983,JAPAN,37.4,136.9,tsunami,,,,
10273,1983,JAPAN,37.4,136.9,tsunami,,,,
10274,1983,JAPAN,37.5,137.217,tsunami,,,,
10275,1983,JAPAN,35.65,134.883,tsunami,,,,
10276,1983,JAPAN,35.667,134.967,tsunami,,,,
10277,1983,JAPAN,35.783,135.233,tsunami,,,,
10278,1983,JAPAN,35.483,135.383,tsunami,,,,
10279,1983,JAPAN,35.483,135.383,tsunami,,,,
10280,1983,JAPAN,35.45,135.317,tsunami,,,,
10281,1983,JAPAN,35.533,135.2,tsunami,,,,
10282,1983,JAPAN,35.567,135.433,tsunami,,,,
10283,1983,JAPAN,35.567,135.45,tsunami,,,,
