,Unnamed: 0,YEAR,COUNTRY,DISASTER_TYPE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
133,133,1940,Romania,Ground movement,980,,10
134,134,1940,Turkey,Ground movement,37,,
135,135,1940,United States of America (the),Ground movement,9,,33
136,136,1941,Mexico,Ground movement,174,,
137,137,1941,Myanmar,Ground movement,15,,
138,138,1942,Chile,Ground movement,5,16,28
139,139,1942,China,Ground movement,30,,
140,140,1942,Ecuador,Ground movement,200,,
141,141,1942,Turkey,Ground movement,7000,,
142,142,1943,Chile,Ground movement,12,35,100
143,143,1943,Indonesia,Ground movement,213,2096,
144,144,1943,Japan,Ground movement,1083,,
145,145,1943,Mexico,Ash fall,,,
146,146,1943,Peru,Ground movement,200,,
147,147,1943,Turkey,Ground movement,2824,5000,
148,148,1944,Argentina,Ground movement,10000,35000,
149,149,1944,Italy,Ash fall,26,,
150,150,1944,Japan,Tsunami,998,,
151,151,1944,Turkey,Ground movement,3986,,
152,152,1945,Japan,Ash fall,,,80
153,153,1945,Japan,Ground movement,1961,,
154,154,1945,Pakistan,Ground movement,4000,,
155,155,1945,Romania,Ground movement,,,
156,156,1946,Algeria,Ground movement,276,,
157,157,1946,Chile,Ground movement,,,
158,158,1946,Dominican Republic (the),Ground movement,73,,
159,159,1946,India,Ground movement,400,,
160,160,1946,Japan,Ground movement,2000,,
161,161,1946,Peru,Ground movement,1400,,
162,162,1946,Tonga,Ash fall,,,
163,163,1946,Turkey,Ground movement,839,,
164,164,1946,United States of America (the),Ground movement,165,,25
165,165,1947,Iran (Islamic Republic of),Ground movement,400,,
166,166,1947,Peru,Ground movement,233,,
167,167,1948,Chile,Ash fall,100,,
168,168,1948,Iran (Islamic Republic of),Ground movement,200,6000,
169,169,1948,Japan,Ground movement,5131,,1000
170,170,1948,Philippines (the),Ground movement,27,,
171,171,1948,Soviet Union,Ground movement,110000,,25
172,172,1948,Turkey,Ground movement,260,,
173,173,1949,Argentina,Ground movement,,,
174,174,1949,Chile,Ground movement,41,173,44.2
175,175,1949,Colombia,Ash fall,1000,,
176,176,1949,Ecuador,Ground movement,6000,,20
177,177,1949,Mexico,Ash fall,1000,,
178,178,1949,Turkey,Ground movement,437,355,
179,179,1949,United States of America (the),Ground movement,8,,80
180,180,1950,Colombia,Ground movement,150,,
181,181,1950,India,Ground movement,1500,,
182,182,1950,Peru,Ground movement,83,200,
183,183,1950,Philippines (the),Ash fall,84,,
184,184,1950,Venezuela (Bolivarian Republic of),Ground movement,100,,
185,185,1951,El Salvador,Ground movement,1000,,23
186,186,1951,Indonesia,Ash fall,1300,,
187,187,1951,Nicaragua,Ground movement,500,,
188,188,1951,Papua New Guinea,Ash fall,3000,,
189,189,1951,Philippines (the),Ash fall,500,,
190,190,1951,Turkey,Ground movement,54,150,
191,191,1952,Haiti,Ground movement,6,,20
192,192,1952,Japan,Ash fall,29,,
193,193,1952,Japan,Ground movement,30,200,
194,194,1952,Soviet Union,Tsunami,2300,,
195,195,1952,Turkey,Ground movement,80,250,
196,196,1952,United States of America (the),Ground movement,16,,80
197,197,1952,United States of America (the),Tsunami,,,0.9
198,198,1953,Chile,Ground movement,15,55,507.31
