,Unnamed: 0,YEAR,COUNTRY,DISASTER_TYPE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
566,566,1988,China,Ground movement,939,3424,269
567,567,1988,Colombia,Ash fall,,,
568,568,1988,Greece,Ground movement,,25,
569,569,1988,Guatemala,Ground movement,5,,
570,570,1988,India,Ground movement,384,3778,72.5
571,571,1988,Indonesia,Ash fall,7,,
572,572,1988,Iran (Islamic Republic of),Ground movement,1,54,
573,573,1988,Japan,Ash fall,,,
574,574,1988,Morocco,Rockfall,31,,
575,575,1988,Nepal,Ground movement,709,1016,60
576,576,1988,Pakistan,Avalanche,50,,
577,577,1988,Papua New Guinea,Landslide,76,,
578,578,1988,Solomon Islands,Ground movement,1,,
579,579,1988,South Africa,Ground movement,8,28,
580,580,1988,Soviet Union,Ground movement,25000,12000,14000
581,581,1988,Uganda,Ground movement,,,
582,582,1989,Algeria,Ground movement,22,184,
583,583,1989,Australia,Ground movement,12,115,1000
584,584,1989,Bangladesh,Ground movement,1,100,
585,585,1989,China,Ground movement,42,392,218
586,586,1989,Honduras,Avalanche,10,,
587,587,1989,India,Landslide,45,,
588,588,1989,Indonesia,Ash fall,,,
589,589,1989,Indonesia,Ground movement,120,203,
590,590,1989,Iran (Islamic Republic of),Ground movement,100,17,
591,591,1989,Malawi,Ground movement,9,100,28
592,592,1989,Mexico,Ground movement,3,350,
593,593,1989,Soviet Union,Ground movement,274,51,24.8
594,594,1989,Soviet Union,Landslide,,,
595,595,1989,United States of America (the),Ground movement,67,3757,5600
596,596,1989,Venezuela (Bolivarian Republic of),Ground movement,,,
597,597,1990,Bulgaria,Ground movement,1,,
598,598,1990,China,Ground movement,127,2065,58.35
599,599,1990,China,Landslide,73,115,
600,600,1990,Costa Rica,Ground movement,1,309,19.5
601,601,1990,Ecuador,Ground movement,4,10,
602,602,1990,Fiji,Ground movement,,,
603,603,1990,Greece,Ground movement,1,61,
604,604,1990,Indonesia,Ash fall,33,,8
605,605,1990,Indonesia,Ground movement,6,171,2.1
606,606,1990,Iran (Islamic Republic of),Ground movement,40021,105090,8232.3
607,607,1990,Italy,Ground movement,21,216,500
608,608,1990,Kenya,Ground movement,,,
609,609,1990,Nicaragua,Ground movement,,,
610,610,1990,Pakistan,Ground movement,22,296,1
611,611,1990,Papua New Guinea,Ground movement,,,
612,612,1990,Peru,Ash fall,,,
613,613,1990,Peru,Ground movement,200,800,1
614,614,1990,Philippines (the),Ground movement,2417,3532,370.5
615,615,1990,Romania,Ground movement,9,700,
616,616,1990,South Africa,Ground movement,10,6,
617,617,1990,Soviet Union,Ground movement,5,8,
618,618,1990,Sudan (the),Ground movement,,,
619,619,1990,Uganda,Ground movement,,,
620,620,1990,United Kingdom of Great Britain and Northern Ireland (the),Ground movement,,,
621,621,1990,United States of America (the),Ground movement,,30,12.7
622,622,1990,Vanuatu,Ground movement,,2,
623,623,1991,Afghanistan,Ground movement,154,,
624,624,1991,Argentina,Ash fall,,,
625,625,1991,Chile,Ash fall,,,15
626,626,1991,China,Ground movement,1,545,
627,627,1991,Colombia,Ground movement,2,2,
628,628,1991,Comoros (the),Ash fall,,,
629,629,1991,Costa Rica,Ash fall,,,
630,630,1991,Costa Rica,Ground movement,47,199,100
631,631,1991,Ethiopia,Landslide,13,,
632,632,1991,Georgia,Ground movement,8,200,
633,633,1991,Guatemala,Ground movement,14,90,
634,634,1991,Guatemala,Rockfall,23,,
635,635,1991,India,Ground movement,1500,1383,60
636,636,1991,Indonesia,Ash fall,,,1
637,637,1991,Indonesia,Ground movement,28,191,18
638,638,1991,Iran (Islamic Republic of),Ground movement,,51,
639,639,1991,Iraq,Ground movement,20,,
640,640,1991,Italy,Ash fall,,,
641,641,1991,Japan,Ash fall,43,20,10
642,642,1991,Myanmar,Ground movement,,,
643,643,1991,Pakistan,Ground movement,300,574,10
644,644,1991,Panama,Ground movement,30,596,
645,645,1991,Peru,Ground movement,64,785,
646,646,1991,Philippines (the),Ash fall,640,195,211
647,647,1991,Romania,Ground movement,,5,
648,648,1991,Soviet Union,Ground movement,274,1500,1700
649,649,1991,Soviet Union,Landslide,50,,
650,650,1991,United States of America (the),Ground movement,2,100,33.5
651,651,1991,Yemen,Ground movement,10,39,
652,652,1992,Afghanistan,Ground movement,14,,
653,653,1992,Algeria,Ground movement,,,
654,654,1992,Belgium,Ground movement,,,100
655,655,1992,China,Ground movement,,,3.15
656,656,1992,China,Landslide,49,,
657,657,1992,Colombia,Ground movement,11,135,
658,658,1992,Congo (the Democratic Republic of the),Ground movement,9,61,
659,659,1992,Cuba,Ground movement,,40,
660,660,1992,Egypt,Ground movement,552,9929,1200
661,661,1992,Georgia,Ground movement,1,10,
662,662,1992,Germany,Ground movement,1,25,50
663,663,1992,Guatemala,Ash fall,,,
664,664,1992,Indonesia,Ground movement,2500,2104,100
665,665,1992,Iran (Islamic Republic of),Ground movement,5,50,
666,666,1992,Japan,Ash fall,,,
667,667,1992,Japan,Ground movement,,32,
668,668,1992,Kyrgyzstan,Ground movement,58,100,161
669,669,1992,Netherlands (the),Ground movement,,20,
670,670,1992,Nicaragua,Ash fall,1,75,
671,671,1992,Nicaragua,Ground movement,179,489,25
672,672,1992,Pakistan,Ground movement,40,100,
673,673,1992,Papua New Guinea,Ash fall,,,
674,674,1992,Philippines (the),Ash fall,,,
675,675,1992,Tajikistan,Avalanche,12,,
676,676,1992,Turkey,Avalanche,261,69,
677,677,1992,Turkey,Ground movement,653,3850,750
678,678,1992,United States of America (the),Ground movement,1,426,275
679,679,1992,Uzbekistan,Ground movement,9,,
680,680,1992,Uzbekistan,Landslide,1,,
681,681,1993,Chile,Ash fall,6,,
682,682,1993,China,Ground movement,,70,
683,683,1993,Colombia,Ash fall,10,6,
684,684,1993,Colombia,Ground movement,2,60,
685,685,1993,Colombia,Landslide,75,36,
686,686,1993,Costa Rica,Ground movement,3,40,
687,687,1993,Egypt,Subsidence,34,,
688,688,1993,Greece,Ground movement,1,21,
689,689,1993,Guam,Ground movement,,71,120
690,690,1993,India,Ground movement,9748,30025,280
691,691,1993,Indonesia,Ash fall,3,12,
692,692,1993,Iran (Islamic Republic of),Ground movement,24,52,
693,693,1993,Japan,Ash fall,1,,
694,694,1993,Japan,Ground movement,2,722,358
695,695,1993,Japan,Tsunami,239,233,1000
696,696,1993,Malaysia,Landslide,72,,
697,697,1993,Mexico,Ground movement,,,
698,698,1993,Nepal,Ground movement,,55,
699,699,1993,Papua New Guinea,Ground movement,53,200,5
700,700,1993,Peru,Ground movement,6,25,
701,701,1993,Philippines (the),Ash fall,79,9,0.488
702,702,1993,Sudan (the),Ground movement,3,15,
703,703,1993,United States of America (the),Ground movement,2,,7.5
704,704,1993,Wallis and Futuna,Ground movement,5,20,
705,705,1994,Afghanistan,Ground movement,160,330,
706,706,1994,Algeria,Ground movement,171,289,
707,707,1994,Australia,Ground movement,,5,
708,708,1994,Bolivia (Plurinational State of),Ground movement,5,,
709,709,1994,China,Ground movement,1,865,
710,710,1994,Colombia,Ground movement,271,158,2.4
711,711,1994,Indonesia,Ash fall,96,22,
712,712,1994,Indonesia,Ground movement,454,2009,172.676
713,713,1994,Iran (Islamic Republic of),Ground movement,14,131,1.4
714,714,1994,Japan,Ground movement,7,1785,170.4
715,715,1994,Mexico,Ash fall,,,
716,716,1994,Papua New Guinea,Ash fall,5,2,110
717,717,1994,Philippines (the),Ground movement,81,174,3.7
718,718,1994,Russian Federation (the),Ground movement,11,242,
719,719,1994,Uganda,Ground movement,7,,70
720,720,1994,United States of America (the),Ground movement,60,7000,30002.1
721,721,1994,Vanuatu,Ground movement,,,
722,722,1995,Cabo Verde,Ash fall,,6,
723,723,1995,Chile,Ground movement,3,58,1.66
724,724,1995,China,Ground movement,71,493,116.1
725,725,1995,Colombia,Ground movement,55,269,
726,726,1995,Cyprus,Ground movement,2,5,4.34
727,727,1995,Ecuador,Ground movement,3,90,
728,728,1995,Egypt,Ground movement,10,69,
729,729,1995,Greece,Ground movement,52,160,872.7
730,730,1995,Indonesia,Ground movement,99,1932,
731,731,1995,Japan,Ground movement,5297,34531,100000
732,732,1995,Mexico,Ground movement,64,125,21.1
733,733,1995,Montserrat,Ash fall,,,
734,734,1995,Myanmar,Ground movement,,,
735,735,1995,New Zealand,Ash fall,,,
736,736,1995,Nicaragua,Ash fall,,,0.722
737,737,1995,Philippines (the),Ash fall,,,
738,738,1995,Philippines (the),Ground movement,,,
739,739,1995,Russian Federation (the),Ground movement,1989,750,64.1
740,740,1995,Thailand,Ground movement,,,
741,741,1995,Turkey,Ground movement,94,240,205.8
742,742,1996,Afghanistan,Ground movement,,,
743,743,1996,China,Ground movement,353,17490,530
744,744,1996,Croatia,Ground movement,,,
745,745,1996,Ecuador,Ground movement,27,180,7
746,746,1996,Greece,Ground movement,,,
747,747,1996,Guatemala,Ash fall,,,
748,748,1996,Iceland,Ash fall,,,16.5
749,749,1996,Indonesia,Ground movement,175,423,5.4
750,750,1996,Montserrat,Ash fall,,,
751,751,1996,Papua New Guinea,Ash fall,4,29,
752,752,1996,Peru,Ground movement,14,585,
753,753,1996,Peru,Tsunami,7,2,
754,754,1996,Turkey,Ground movement,,6,30
755,755,1997,Afghanistan,Ground movement,5,,0.01
756,756,1997,Armenia,Ground movement,,,33.333
757,757,1997,Bangladesh,Ground movement,23,200,
758,758,1997,Chile,Ground movement,8,98,48
759,759,1997,China,Ground movement,32,224,
760,760,1997,India,Ground movement,43,1500,37
761,761,1997,Indonesia,Ash fall,1,,
762,762,1997,Indonesia,Ground movement,20,300,1.1
763,763,1997,Iran (Islamic Republic of),Ground movement,2768,7200,206
764,764,1997,Italy,Ground movement,14,100,4524.9
765,765,1997,Kyrgyzstan,Ground movement,,,2
766,766,1997,Mexico,Ash fall,20,,
767,767,1997,Mexico,Ground movement,1,,
768,768,1997,Montserrat,Ash fall,32,,8
769,769,1997,Pakistan,Ground movement,50,100,
770,770,1997,South Africa,Ground movement,15,46,
771,771,1997,Trinidad and Tobago,Ash fall,,,
772,772,1997,Trinidad and Tobago,Ground movement,,2,25
773,773,1997,Vanuatu,Tsunami,100,,
774,774,1997,Venezuela (Bolivarian Republic of),Ground movement,80,683,81
775,775,1998,Afghanistan,Ground movement,7023,2753,20
776,776,1998,Albania,Ground movement,,,
777,777,1998,Austria,Ground movement,,,
778,778,1998,Azerbaijan,Ground movement,1,10,
779,779,1998,Azores Islands,Ground movement,10,100,72
780,780,1998,Bolivia (Plurinational State of),Ground movement,95,50,
781,781,1998,China,Ground movement,55,13690,378.1
782,782,1998,Costa Rica,Ash fall,,,
783,783,1998,Ecuador,Ground movement,3,40,
784,784,1998,Guatemala,Ash fall,,,
785,785,1998,Indonesia,Ash fall,,,
786,786,1998,Indonesia,Ground movement,34,88,200
787,787,1998,Iran (Islamic Republic of),Ground movement,22,185,
788,788,1998,Italy,Ground movement,,5,
789,789,1998,Mexico,Ash fall,,,
790,790,1998,Nicaragua,Ground movement,,3,
791,791,1998,Pakistan,Ground movement,1,11,
792,792,1998,Papua New Guinea,Tsunami,2182,668,
793,793,1998,Slovenia,Ground movement,,,
794,794,1998,Turkey,Ground movement,147,2616,550
795,795,1999,Afghanistan,Ground movement,70,500,
796,796,1999,Algeria,Ground movement,22,175,60.929
797,797,1999,Azerbaijan,Ground movement,1,18,5
798,798,1999,Bangladesh,Ground movement,6,200,
799,799,1999,Cameroon,Ash fall,,,
800,800,1999,China,Ground movement,,7,44
801,801,1999,Colombia,Ground movement,1186,8563,1857.366
802,802,1999,Ecuador,Ash fall,,,
803,803,1999,Greece,Ground movement,143,2000,4200
804,804,1999,Guatemala,Ground movement,2,40,
805,805,1999,India,Ground movement,100,394,2
806,806,1999,Indonesia,Ground movement,5,220,3.9
807,807,1999,Iran (Islamic Republic of),Ground movement,21,100,
808,808,1999,Mexico,Ash fall,,,
809,809,1999,Mexico,Ground movement,46,415,391.6
810,810,1999,Nicaragua,Ash fall,,,
811,811,1999,Peru,Ground movement,1,80,1.1
812,812,1999,Philippines (the),Ground movement,6,40,1.794
813,813,1999,Russian Federation (the),Ground movement,1,20,0.9
814,814,1999,Spain,Ground movement,,20,44.004
815,815,1999,Taiwan (Province of China),Ground movement,2265,8918,14100.8
816,816,1999,Turkey,Ground movement,17982,49792,21000
817,817,1999,Vanuatu,Ground movement,12,100,
818,818,2000,Azerbaijan,Ground movement,31,600,10
819,819,2000,Bangladesh,Ground movement,,,
820,820,2000,China,Ground movement,9,2791,116.983
821,821,2000,Colombia,Ground movement,2,,
822,822,2000,Greece,Ground movement,,,
823,823,2000,Guatemala,Ash fall,,,
824,824,2000,Iceland,Ground movement,,1,24
825,825,2000,Indonesia,Ground movement,149,3108,73
826,826,2000,Iran (Islamic Republic of),Ground movement,1,15,
827,827,2000,Japan,Ash fall,,,
828,828,2000,Japan,Ground movement,1,130,500
829,829,2000,Mexico,Ash fall,,,
830,830,2000,Mexico,Ground movement,,1,
831,831,2000,Nicaragua,Ground movement,7,42,
832,832,2000,Papua New Guinea,Ground movement,2,,
833,833,2000,Philippines (the),Ash fall,,,2.214
834,834,2000,Philippines (the),Landslide,11,,
835,835,2000,Russian Federation (the),Ground movement,,8,0.92
836,836,2000,Tajikistan,Ground movement,,,
837,837,2000,"Tanzania, United Republic of",Ground movement,1,6,
838,838,2000,Turkey,Ground movement,3,80,
839,839,2000,Turkmenistan,Ground movement,11,,
840,840,2000,United States of America (the),Ground movement,,70,50
841,841,2001,Afghanistan,Ground movement,4,20,
842,842,2001,China,Ground movement,8,1124,91
843,843,2001,Congo (the Democratic Republic of the),Ash fall,,,
844,844,2001,Ecuador,Ash fall,,,10.975
845,845,2001,El Salvador,Ground movement,1159,8122,1848.5
846,846,2001,Greece,Ground movement,,,
847,847,2001,Guatemala,Ground movement,6,2,0.05
848,848,2001,India,Ground movement,20005,166812,2623
849,849,2001,Indonesia,Ground movement,,12,
850,850,2001,Iran (Islamic Republic of),Ground movement,,,
851,851,2001,Italy,Ash fall,,,3.1
852,852,2001,Japan,Ground movement,2,161,500
853,853,2001,Pakistan,Ground movement,12,100,0.5
854,854,2001,Papua New Guinea,Ground movement,,1,
855,855,2001,Peru,Ground movement,6,20,
856,856,2001,Peru,Tsunami,145,2713,300
857,857,2001,Philippines (the),Ash fall,,,2.58
858,858,2001,"Tanzania, United Republic of",Ground movement,,,
859,859,2001,Turkey,Ground movement,,176,
860,860,2001,United States of America (the),Ground movement,1,400,2000
861,861,2001,Vanuatu,Ash fall,,,
862,862,2002,Afghanistan,Ground movement,1200,1391,
863,863,2002,Argentina,Ground movement,,27,
864,864,2002,China,Ground movement,2,,
865,865,2002,Congo (the Democratic Republic of the),Ash fall,200,400,9
866,866,2002,Ecuador,Ash fall,,,
867,867,2002,Ecuador,Landslide,60,,
868,868,2002,Egypt,Ground movement,,,
869,869,2002,Georgia,Ground movement,6,70,350
870,870,2002,Greece,Ground movement,,17,
871,871,2002,Guatemala,Ash fall,,,
872,872,2002,India,Ground movement,2,,
873,873,2002,Indonesia,Ash fall,,,
874,874,2002,Indonesia,Ground movement,3,108,
875,875,2002,Indonesia,Tsunami,8,632,
876,876,2002,Iran (Islamic Republic of),Ground movement,230,1406,300
877,877,2002,Italy,Ground movement,32,42,1296
878,878,2002,Mexico,Ash fall,,,
879,879,2002,Pakistan,Ground movement,39,105,
880,880,2002,Papua New Guinea,Ash fall,,,
881,881,2002,Papua New Guinea,Ground movement,5,70,
882,882,2002,Philippines (the),Ground movement,15,100,1.714
883,883,2002,Rwanda,Ground movement,45,108,
884,884,2002,Serbia Montenegro,Ground movement,1,100,
885,885,2002,Taiwan (Province of China),Ground movement,4,200,25
886,886,2002,Tajikistan,Ground movement,3,50,
887,887,2002,"Tanzania, United Republic of",Ground movement,2,,
888,888,2002,Turkey,Ground movement,42,327,95
889,889,2002,Vanuatu,Ground movement,,3,
890,890,2003,Afghanistan,Ground movement,1,1,
891,891,2003,Algeria,Ground movement,2275,10461,5000
892,892,2003,Bangladesh,Ground movement,2,25,
893,893,2003,China,Ground movement,317,5954,500.933
894,894,2003,Costa Rica,Ground movement,2,75,
895,895,2003,Dominican Republic (the),Ground movement,3,15,
896,896,2003,Ecuador,Ash fall,,,
897,897,2003,Greece,Ground movement,,50,
898,898,2003,Indonesia,Ground movement,1,9,
899,899,2003,Iran (Islamic Republic of),Ground movement,26797,22739,521.666
900,900,2003,Italy,Ground movement,,2,561.352
901,901,2003,Japan,Ground movement,2,1485,1207
902,902,2003,Kazakhstan,Ground movement,3,626,
903,903,2003,Mexico,Ground movement,29,1073,116.3
904,904,2003,Northern Mariana Islands (the),Ash fall,,,
905,905,2003,Panama,Ground movement,2,75,
906,906,2003,Russian Federation (the),Ground movement,3,5,10.6
907,907,2003,Turkey,Ground movement,178,692,135
908,908,2003,United States of America (the),Ground movement,2,40,200
909,909,2004,Afghanistan,Ground movement,2,40,
910,910,2004,Algeria,Ground movement,,315,
911,911,2004,Bangladesh,Tsunami,2,,500
912,912,2004,Burundi,Ground movement,3,,
913,913,2004,China,Ground movement,4,731,124
914,914,2004,China,Landslide,44,13,
915,915,2004,Colombia,Ground movement,1,22,
916,916,2004,Costa Rica,Ground movement,8,,
917,917,2004,Dominica,Ground movement,,,
918,918,2004,Germany,Ground movement,,,12
919,919,2004,Guadeloupe,Ground movement,1,13,
920,920,2004,India,Tsunami,16389,6913,1022.8
921,921,2004,Indonesia,Ash fall,2,105,
922,922,2004,Indonesia,Ground movement,108,1253,68
923,923,2004,Indonesia,Tsunami,165708,,4451.6
924,924,2004,Iran (Islamic Republic of),Ground movement,35,278,165
925,925,2004,Japan,Ground movement,40,3183,28000
926,926,2004,Kenya,Tsunami,1,,100
927,927,2004,Malaysia,Tsunami,80,767,500
928,928,2004,Maldives,Tsunami,102,2214,470.1
929,929,2004,Morocco,Ground movement,628,926,400
930,930,2004,Myanmar,Tsunami,71,,500
931,931,2004,Pakistan,Ground movement,24,63,
932,932,2004,Papua New Guinea,Ash fall,,,
933,933,2004,Russian Federation (the),Ground movement,,,
934,934,2004,Seychelles,Tsunami,3,,30
935,935,2004,Slovenia,Ground movement,1,5,10
936,936,2004,Somalia,Tsunami,298,283,100
937,937,2004,Sri Lanka,Tsunami,35399,23176,1316.5
938,938,2004,Tajikistan,Ground movement,,,
939,939,2004,"Tanzania, United Republic of",Tsunami,10,,
940,940,2004,Thailand,Tsunami,8345,8457,1000
941,941,2004,Turkey,Ground movement,27,81,
942,942,2005,Afghanistan,Ground movement,6,1,0.05
943,943,2005,Chile,Ground movement,11,182,5
944,944,2005,China,Ground movement,16,8009,
945,945,2005,Colombia,Ash fall,,,
946,946,2005,Comoros (the),Ash fall,1,,
947,947,2005,Congo (the Democratic Republic of the),Ground movement,6,5,
948,948,2005,El Salvador,Ash fall,2,,
949,949,2005,El Salvador,Ground movement,1,1,
950,950,2005,Ethiopia,Ash fall,,,
951,951,2005,India,Ground movement,1309,6622,1000
952,952,2005,Indonesia,Ash fall,,,
953,953,2005,Indonesia,Ground movement,916,1150,
954,954,2005,Iran (Islamic Republic of),Ground movement,625,1621,80
955,955,2005,Japan,Ground movement,1,793,400
956,956,2005,Pakistan,Ground movement,73338,128309,5200
957,957,2005,Papua New Guinea,Ash fall,,,
958,958,2005,Papua New Guinea,Ground movement,1,,
959,959,2005,Peru,Ground movement,5,59,0.05
960,960,2005,South Africa,Ground movement,2,58,20
961,961,2005,"Tanzania, United Republic of",Ground movement,2,,
962,962,2005,Turkey,Ground movement,2,94,
963,963,2005,Vanuatu,Ash fall,,,
964,964,2006,Afghanistan,Ground movement,1,,
965,965,2006,Algeria,Ground movement,4,9,
966,966,2006,Bulgaria,Ground movement,,2,
967,967,2006,China,Ground movement,23,143,7.191
968,968,2006,China,Landslide,11,5,
969,969,2006,Colombia,Ash fall,,,
970,970,2006,Comoros (the),Ash fall,,,
971,971,2006,Ecuador,Ash fall,5,13,150
972,972,2006,El Salvador,Ground movement,,,
973,973,2006,Indonesia,Ash fall,,,
974,974,2006,Indonesia,Ground movement,5787,138097,3100
975,975,2006,Indonesia,Tsunami,805,545,55
976,976,2006,Iran (Islamic Republic of),Ground movement,63,1494,42.262
977,977,2006,Kyrgyzstan,Ground movement,,,
978,978,2006,Montserrat,Ash fall,,,
979,979,2006,Mozambique,Ground movement,4,36,
980,980,2006,Papua New Guinea,Ash fall,,,
981,981,2006,Peru,Ash fall,,,
982,982,2006,Philippines (the),Ash fall,,,
983,983,2006,Russian Federation (the),Ground movement,,40,55
984,984,2006,Taiwan (Province of China),Ground movement,2,42,
985,985,2006,Tajikistan,Ground movement,3,19,22
986,986,2006,United States of America (the),Ground movement,,10,150
987,987,2006,Vanuatu,Ash fall,,,
988,988,2007,Barbados,Ground movement,,1,
989,989,2007,Brazil,Ground movement,1,6,
990,990,2007,Chile,Ground movement,2,155,100
991,991,2007,Chile,Tsunami,10,,
992,992,2007,China,Ground movement,3,329,342
993,993,2007,Colombia,Ash fall,,,
994,994,2007,Colombia,Ground movement,,5,
995,995,2007,Ethiopia,Ash fall,5,,
996,996,2007,Honduras,Ground movement,,18,
997,997,2007,Indonesia,Ash fall,,,
998,998,2007,Indonesia,Ground movement,95,2727,700
999,999,2007,Japan,Ground movement,10,1371,12750
1000,1000,2007,Martinique,Ground movement,1,100,
1001,1001,2007,Peru,Ground movement,593,1366,600
1002,1002,2007,Philippines (the),Ash fall,,,
1003,1003,2007,Russian Federation (the),Ground movement,2,12,420
1004,1004,2007,Saint Lucia,Ground movement,,,
1005,1005,2007,Solomon Islands,Tsunami,52,9,
1006,1006,2007,Tajikistan,Ground movement,11,3,
1007,1007,2007,United Kingdom of Great Britain and Northern Ireland (the),Ground movement,,1,60
1008,1008,2007,Yemen,Ash fall,6,15,
1009,1009,2008,Argentina,Ash fall,,,
1010,1010,2008,Chile,Ash fall,,,
1011,1011,2008,China,Ground movement,87564,368412,85492
1012,1012,2008,Colombia,Ash fall,16,7,
1013,1013,2008,Colombia,Ground movement,11,54,10
1014,1014,2008,Colombia,Landslide,12,,
1015,1015,2008,Congo (the Democratic Republic of the),Ground movement,11,,7
1016,1016,2008,Egypt,Rockfall,98,72,
1017,1017,2008,Greece,Ground movement,2,240,
1018,1018,2008,Indonesia,Ash fall,,,
1019,1019,2008,Indonesia,Ground movement,11,162,
1020,1020,2008,Iran (Islamic Republic of),Ground movement,6,215,
1021,1021,2008,Japan,Ground movement,24,648,277
1022,1022,2008,Kyrgyzstan,Ground movement,74,142,
1023,1023,2008,Pakistan,Ground movement,166,320,10
1024,1024,2008,Papua New Guinea,--,10,,
1025,1025,2008,Russian Federation (the),Ground movement,13,100,
1026,1026,2008,Rwanda,Ground movement,36,643,
1027,1027,2008,United States of America (the),Ground movement,,3,
1028,1028,2008,Vanuatu,Ash fall,,,
1029,1029,2009,Afghanistan,Ground movement,22,59,
1030,1030,2009,Albania,Ground movement,,,
1031,1031,2009,American Samoa,Tsunami,34,,
1032,1032,2009,Bhutan,Ground movement,11,12,
1033,1033,2009,China,Ground movement,1,336,318.1
1034,1034,2009,Costa Rica,Ground movement,31,91,200
1035,1035,2009,Georgia,Ground movement,,6,
1036,1036,2009,Guatemala,Landslide,36,,
1037,1037,2009,Honduras,Ground movement,7,136,100
1038,1038,2009,Indonesia,Ground movement,1330,3654,2381.43
1039,1039,2009,Iran (Islamic Republic of),Ground movement,,269,
1040,1040,2009,Italy,Ground movement,295,1000,2500
1041,1041,2009,Japan,Tsunami,1,319,400
1042,1042,2009,Malawi,Ground movement,4,186,
1043,1043,2009,Philippines (the),Ash fall,,,
1044,1044,2009,Philippines (the),Ground movement,,2,0.09
1045,1045,2009,Samoa,Tsunami,148,310,124.04
1046,1046,2009,Tonga,Tsunami,9,7,9.5
1047,1047,2009,Vanuatu,Ash fall,,,
1048,1048,2010,Afghanistan,Ground movement,11,70,
1049,1049,2010,Chile,Tsunami,562,10334,30000
1050,1050,2010,China,Ground movement,2977,12049,504.4
1051,1051,2010,Ecuador,Ash fall,,,
1052,1052,2010,Guatemala,Ash fall,,,
1053,1053,2010,Haiti,Ground movement,222570,300000,8000
1054,1054,2010,Iceland,Ash fall,,,
1055,1055,2010,Indonesia,Ash fall,323,455,
1056,1056,2010,Indonesia,Ground movement,17,,
1057,1057,2010,Indonesia,Tsunami,530,412,
1058,1058,2010,Iran (Islamic Republic of),Ground movement,11,535,
1059,1059,2010,Mexico,Ground movement,2,232,1150
1060,1060,2010,New Zealand,Ground movement,,2,6500
1061,1061,2010,Philippines (the),Ash fall,,,
1062,1062,2010,Serbia,Ground movement,2,120,132.26
1063,1063,2010,Solomon Islands,Ground movement,,1,
1064,1064,2010,Taiwan (Province of China),Ground movement,,96,1000
1065,1065,2010,Tajikistan,Ground movement,,,1.5
1066,1066,2010,Turkey,Ground movement,51,100,
1067,1067,2010,United States of America (the),Ground movement,,30,12.5
1068,1068,2011,Argentina,Ash fall,,,104
1069,1069,2011,Bhutan,Ground movement,1,16,
1070,1070,2011,Chile,Ash fall,,,
1071,1071,2011,China,Ground movement,32,433,346.4
1072,1072,2011,Guatemala,Ground movement,3,,
1073,1073,2011,India,Ground movement,112,200,
1074,1074,2011,Indonesia,Ash fall,3,5,
1075,1075,2011,Indonesia,Ground movement,10,,5.85
1076,1076,2011,Indonesia,Tsunami,1,,
1077,1077,2011,Japan,Ground movement,2,132,
1078,1078,2011,Japan,Tsunami,19846,5933,210000
1079,1079,2011,Kyrgyzstan,Ground movement,,,
1080,1080,2011,Mexico,Ground movement,2,2,
1081,1081,2011,Myanmar,Ground movement,74,125,3.6
1082,1082,2011,Nepal,Ground movement,7,89,
1083,1083,2011,New Zealand,Ground movement,182,1545,18000
1084,1084,2011,Pakistan,Ground movement,2,,
1085,1085,2011,Peru,Ground movement,1,106,
1086,1086,2011,Philippines (the),Ash fall,,,
1087,1087,2011,Philippines (the),Ground movement,,3,
1088,1088,2011,Spain,Ground movement,10,300,200
1089,1089,2011,Tajikistan,Ground movement,,,
1090,1090,2011,Thailand,Ground movement,1,16,
1091,1091,2011,Turkey,Ground movement,647,4303,1744
1092,1092,2011,Uzbekistan,Ground movement,13,,
1093,1093,2012,Afghanistan,Ground movement,73,2,
1094,1094,2012,Azerbaijan,Ground movement,,50,
1095,1095,2012,Bulgaria,Ground movement,,70,
1096,1096,2012,Chile,Ground movement,1,14,100
1097,1097,2012,China,Ground movement,86,37910,1548
1098,1098,2012,Costa Rica,Ground movement,2,225,45
1099,1099,2012,Guatemala,Ash fall,,,
1100,1100,2012,Guatemala,Ground movement,44,178,210
1101,1101,2012,India,Avalanche,16,,
1102,1102,2012,Indonesia,Ground movement,13,150,
1103,1103,2012,Iran (Islamic Republic of),Ground movement,312,2267,500
1104,1104,2012,Italy,Ground movement,24,400,15800
1105,1105,2012,Mexico,Ground movement,2,11,320
1106,1106,2012,Myanmar,Ground movement,38,231,1.17
1107,1107,2012,Peru,Ground movement,,145,
1108,1108,2012,Philippines (the),Ground movement,114,123,12.144
1109,1109,2012,Tajikistan,Ground movement,2,,
1110,1110,2013,Afghanistan,Ground movement,18,141,
1111,1111,2013,China,Ground movement,296,15762,8055.3
1112,1112,2013,China,Landslide,46,2,8
1113,1113,2013,Colombia,Ground movement,,15,4
1114,1114,2013,El Salvador,Ash fall,,,
1115,1115,2013,Guatemala,Ground movement,1,52,2
1116,1116,2013,Hungary,Ground movement,,,
1117,1117,2013,India,Ground movement,3,70,120
1118,1118,2013,Indonesia,Ash fall,,,
1119,1119,2013,Indonesia,Ground movement,50,2550,130
1120,1120,2013,Iran (Islamic Republic of),Ground movement,45,997,600
1121,1121,2013,Japan,Ground movement,,32,
1122,1122,2013,New Zealand,Ground movement,,4,50
1123,1123,2013,Pakistan,Ground movement,462,824,100
